,sideefect
9298,iris incarceration
9299,bladder neck resection
9300,portal vein occlusion
9301,lymphoma cutis
9302,gastroenteritis viral
9303,bronchopleural fistula
9305,periureteral collection
9307,degenerative mitral valve disease
9308,abstains from alcohol
9309,hepatic fibrosis marker abnormal
9310,globulins decreased
9311,myocarditis
9312,infusion site oedema
9313,vascular catheterisation
9314,anomalous atrioventricular excitation
9315,postmature baby
9316,tracheo-oesophageal fistula
9317,cheilosis
9318,artificial rupture of membranes
9319,cardiac autonomic neuropathy
9320,cerebral ventricle dilatation
9321,catheterisation cardiac
9322,balanitis candida
9323,hyperglycaemia
9324,pacing threshold increased
9326,aldolase
9327,nasal cyst removal
9328,oesophageal mucosal dissection
9329,septic arthritis neisserial
9330,vaginal contraceptive device complication
9331,thalamic infarction
9332,limb asymmetry
9333,oral neoplasm
9334,gluten sensitivity
9335,orgasmic sensation decreased
9336,herbal toxicity
9337,pus in stool
9338,pain threshold decreased
9339,disinhibition
9340,tissue infiltration
9341,hepatic pain
9342,urethral repair
9343,juvenile chronic myelomonocytic leukaemia
9344,oral haemangioma
9345,food craving
9346,gastrostomy tube site complication
9347,dermatomyositis
9348,breast atrophy
9349,edentulous
9350,pulmonary artery banding
9351,blood pressure diastolic decreased
9352,ear neoplasm
9353,cutaneous leishmaniasis
9354,antipsychotic drug level decreased
9355,breech delivery
9356,liver palpable
9357,vaccination site cellulitis
9358,herpes zoster meningomyelitis
9359,migrainous infarction
9360,gallstones in bile duct removal
9361,prostatic specific antigen increased
9362,gastrointestinal pain
9363,spinal cord oedema
9364,pelvic abscess
9365,steatorrhoea
9366,eczema vesicular
9367,atrophie blanche
9368,electron radiation therapy to skin
9369,drug clearance
9370,blood electrolytes
9371,lobar pneumonia
9372,maxillofacial sinus neoplasm
9373,necrotising fasciitis fungal
9374,macrogenia
9375,intraneural cyst
9376,medical device site plaque
9377,testis cancer
9378,serositis
9379,fructosamine decreased
9380,peripheral t-cell lymphoma unspecified refractory
9381,salivary gland mucocoele
9382,blood testosterone
9383,prostatic specific antigen decreased
9384,necrotising fasciitis streptococcal
9385,renal vessel congenital anomaly
9386,drowning
9387,female reproductive tract carcinoma in situ
9388,leukocoria
9389,vaginal flatulence
9390,blood parathyroid hormone
9391,skin infection
9392,organic brain syndrome
9393,product physical consistency issue
9395,interchange of vaccine products
9396,radiography guided aspiration
9397,microvillous inclusion disease
9398,acute haemorrhagic ulcerative colitis
9399,vena cava filter insertion
9401,hyporeflexia
9402,substance use disorder
9403,implant site abscess
9404,gastritis atrophic
9405,burns first degree
9406,placental necrosis
9407,shock symptom
9408,deformity thorax
9409,chronic gastritis
9410,jc virus infection
9411,exposure via unknown route
9412,cemento osseous dysplasia
9413,serum ascites albumin gradient
9414,infusion site dysaesthesia
9415,exostosis
9416,chronic pigmented purpura
9418,loss of anatomical alignment after fracture reduction
9419,non-dipping
9420,hyperproteinaemia
9421,orthopox virus infection
9422,vaginal septum
9423,peripheral nerve transposition
9424,benign breast lump removal
9425,injection site ulcer
9426,ecthyma
9427,allergic pharyngitis
9428,cerebral haematoma
9429,faecal calprotectin decreased
9430,transcranial magnetic stimulation
9431,chondrodystrophy
9432,tuberculosis gastrointestinal
9433,mucopolysaccharidosis ih/s
9434,congenital carnitine deficiency
9435,dental fistula
9436,gastrointestinal tract mucosal discolouration
9437,prolapse
9438,actinomycosis
9439,lower gastrointestinal perforation
9440,fracture displacement
9441,methaemoglobin urine present
9442,invasive lobular breast carcinoma
9443,parachute mitral valve
9444,candida serology positive
9445,biopsy bone marrow
9446,disseminated bacillus calmette-guerin infection
9447,endothelin increased
9448,bone marrow haemorrhage
9449,epiglottic oedema
9450,fibrous cortical defect
9451,carboxyhaemoglobin normal
9452,manipulation
9453,urine abnormality
9454,radiation fibrosis - lung
9455,enema administration
9456,mycotic corneal ulcer
9457,fibrin increased
9458,tubal rupture
9459,squamous cell carcinoma of the vulva
9460,thyroid atrophy
9461,spongiform cardiomyopathy
9462,culture
9463,limb crushing injury
9464,aspiration
9465,actinic keratosis
9466,fundoplication
9467,barium enema abnormal
9468,urine viscosity decreased
9469,rhesus antibodies
9470,cerebral atrophy congenital
9471,small intestinal anastomosis
9472,depersonalisation/derealisation disorder
9473,calcification pancreatic duct
9474,topography corneal abnormal
9475,peak expiratory flow rate increased
9476,biopsy intestine abnormal
9477,erection increased
9478,bronchial obstruction
9479,anti-platelet antibody
9480,bronchopulmonary aspergillosis
9481,respiratory syncytial virus bronchitis
9482,ureteric obstruction
9483,congenital anomaly of adrenal gland
9484,vascular access site oedema
9485,genitourinary tract infection
9486,cerebellar microhaemorrhage
9487,symptom recurrence
9488,vitamin b6 abnormal
9489,administration site discolouration
9490,monocyte morphology abnormal
9491,ectopia cordis
9492,hepatocellular damage
9493,hepatic hamartoma
9494,congenital horner^s syndrome
9495,paresis anal sphincter
9496,ocular neoplasm
9497,childhood psychosis
9498,bloom syndrome
9499,japan coma scale
9500,cornea verticillata
9501,endoscopy upper gastrointestinal tract abnormal
9502,faecalith
9503,instillation site lacrimation
9504,biopsy brain
9505,perirectal abscess
9506,cardiac ventricular scarring
9507,cervical dysplasia
9508,barth syndrome
9509,methaemoglobinaemia
9510,foetal damage
9511,mean cell volume abnormal
9512,metastatic cutaneous crohn's disease
9513,neutrophil morphology abnormal
9514,plasmodium vivax infection
9515,acquired phimosis
9516,coronary artery embolism
9517,bladder irritation
9518,foetal exposure during delivery
9519,nephritis radiation
9520,chordee
9522,botryomycosis
9524,tethered cord syndrome
9525,white blood cell count decreased
9526,sick building syndrome
9527,parenteral nutrition associated liver disease
9528,inguinal mass
9529,gastric ulcer perforation
9530,hepatosplenomegaly neonatal
9531,bone formation increased
9532,aspiration tracheal abnormal
9533,dysacusis
9534,anal paraesthesia
9535,spermatogenesis abnormal
9536,laryngeal fistula
9537,acid fast stain positive
9538,neonatal apnoeic attack
9539,post procedural discomfort
9540,drug effect increased
9541,eye luxation
9543,biopsy gingival
9544,ureteroneocystostomy
9545,dacryocystitis
9546,perihepatic discomfort
9547,necrotising bronchiolitis
9548,small size placenta
9549,nasal inflammation
9550,von willebrand^s factor inhibition
9551,procedural headache
9552,amino acid level decreased
9553,pituitary hyperplasia
9554,leukoaraiosis
9555,metaplasia
9556,meconium in amniotic fluid
9557,blood brain barrier defect
9558,congenital central nervous system anomaly
9559,cardiac hypertrophy
9561,amusia
9562,catheter site extravasation
9563,antineutrophil cytoplasmic antibody decreased
9564,benign lung neoplasm
9565,cholecystitis
9566,lissencephaly
9567,pulmonary bulla
9568,external counterpulsation
9569,hyper igd syndrome
9570,diaphragmatic rupture
9571,natural killer-cell lymphoblastic lymphoma
9572,renal cyst infection
9573,skin culture positive
9574,post procedural persistent drain fluid
9575,amenorrhoea
9576,hyponatriuria
9577,paroxysmal atrioventricular block
9578,anti-thyroid antibody positive
9580,application site folliculitis
9581,sideropenic dysphagia
9582,rash
9583,bacterial culture
9584,leukaemic infiltration hepatic
9585,intravascular haemolysis
9586,myringitis bullous
9587,interspinous osteoarthritis
9588,white blood cells semen positive
9589,erosive duodenitis
9590,rectal fistula repair
9591,complement factor c4 increased
9592,alpha 1 foetoprotein increased
9593,exfoliative rash
9594,somatosensory evoked potentials abnormal
9595,neonatal oversedation
9596,bladder cancer stage iv
9597,schwannoma
9598,middle ear disorder
9599,rhabdoid tumour of the kidney
9600,hyperparathyroidism
9601,herpes simplex test negative
9602,blood pressure orthostatic decreased
9603,brachial plexus lesion
9604,diagnostic procedure
9605,penile neoplasm
9606,multiple sclerosis relapse
9607,free thyroxine index increased
9608,congenital tuberculosis
9609,lack of infusion site rotation
9610,blood carbon monoxide
9611,blood elastase decreased
9612,post procedural haemorrhage
9613,arteriovenous shunt operation
9614,blood gold increased
9615,maternal exposure during delivery
9616,sex hormone binding globulin
9617,red blood cell analysis
9618,allergic transfusion reaction
9619,residual urine volume increased
9620,external ear pain
9621,total lung capacity decreased
9622,product substitution
9623,external fixation of fracture
9624,temperature perception test abnormal
9625,pulmonary oedema post fume inhalation
9626,dependent rubor
9627,subperiosteal abscess
9628,eye redness
9629,tropical ulcer
9630,csf pressure decreased
9631,mandibulofacial dysostosis
9632,hydrocele excision
9633,virus stool test positive
9634,splenic artery thrombosis
9635,rebound hypertension
9636,disbacteriosis
9637,kidney ablation
9638,abdominal pain
9639,eye muscle tenotomy
9640,metastases to stomach
9641,cervical diathermy
9642,x-ray therapy to lung
9643,inadequate diet
9644,vertebral foraminal stenosis
9645,myoglobin urine present
9646,mycobacterium kansasii infection
9647,panel-reactive antibody
9648,noninfective myringitis
9649,prolonged labour
9650,specific gravity urine abnormal
9651,pleural calcification
9652,retinal disorder
9653,computerised tomogram abdomen abnormal
9654,contusion
9655,thyroxine free normal
9656,brain stem glioma benign
9657,psychogenic pseudosyncope
9658,pre-existing disease
9659,peritoneal lavage
9660,tracheal operation
9661,nightmare
9662,arterial stenosis
9663,peritoneal lesion
9664,blood pressure increased
9665,dyspnoea exacerbated
9667,neurostimulator implantation
9668,hyponatraemic coma
9669,dyskinesia neonatal
9670,device inversion
9671,pulmonary fibrosis
9672,gastrointestinal examination normal
9673,sialocele
9674,adrenocortical steroid therapy
9675,product difficult to remove
9676,nuchal rigidity
9677,bladder transitional cell carcinoma stage 0
9678,abortion induced complete
9679,pineal germinoma
9680,ph body fluid
9681,lupus endocarditis
9682,erysipelothrix infection
9683,thyroid stimulating hormone-producing pituitary tumour
9684,abortion induced incomplete complicated
9685,culture throat positive
9686,anorectal discomfort
9687,ovarian clear cell carcinoma
9688,pleural mesothelioma malignant
9689,joint sprain
9690,glomerular vascular disorder
9691,chest discomfort
9692,haemoglobin c trait
9693,fraction of inspired oxygen
9694,flour sensitivity
9695,blood catecholamines decreased
9696,fat intolerance
9697,exposure via body fluid
9698,parasite allergy
9699,leukotomy
9700,gingival discolouration
9701,hepatitis e antibody
9702,lipoprotein (a) abnormal
9703,instillation site exfoliation
9704,young mania rating scale
9705,paraneoplastic retinopathy
9706,removal of foreign body from eye
9707,mastocytic leukaemia
9708,vulvectomy
9709,wrong dosage form
9710,viral vasculitis
9711,cardiac output increased
9712,chromosome analysis normal
9713,auricular perichondritis
9714,mucopolysaccharidosis i
9715,testicular cancer metastatic
9716,protein-losing gastroenteropathy
9717,prothrombin time ratio decreased
9719,bolivian haemorrhagic fever
9720,circulating anticoagulant positive
9721,blood human chorionic gonadotropin decreased
9722,tear discolouration
9723,gene mutation identification test positive
9724,lymphocytic lymphoma
9725,procedural vomiting
9726,cerebrospinal fluid drainage
9727,injection site plaque
9728,gene mutation identification test negative
9729,tumour invasion
9730,enterocolitis
9731,extranodal marginal zone b-cell lymphoma (malt type) stage iv
9733,oesophageal discomfort
9734,skin graft contracture
9735,pulmonary interstitial emphysema syndrome
9736,resorption bone increased
9737,oedema peripheral
9739,white blood cell analysis increased
9740,progressive familial intrahepatic cholestasis
9741,scan abnormal
9742,benign neoplasm of ureter
9743,catheter site oedema
9744,scalloped tongue
9745,amegakaryocytic thrombocytopenia
9746,postprandial hypoglycaemia
9747,t-cell chronic lymphocytic leukaemia
9748,anti factor viii antibody positive
9749,retinal aneurysm
9751,epidermodysplasia verruciformis
9752,vascular pseudoaneurysm
9753,degenerative aortic valve disease
9754,stricturoplasty
9755,malignant melanoma stage iii
9756,vessel puncture site discharge
9757,retention cyst
9758,renal graft infection
9759,lacrimal haemorrhage
9760,von willebrand's factor antibody positive
9761,metabolic function test
9762,leukopenia neonatal
9763,lens dislocation
9764,dental treatment
9765,vessel puncture site vesicles
9766,mood swings
9767,bilirubinuria
9768,splenic infection bacterial
9769,parasystole
9770,thought insertion
9771,peritoneal membrane failure
9772,glutamate dehydrogenase increased
9773,aortic restenosis
9774,laryngeal prosthesis placement
9775,prolonged expiration
9776,vocal cord paresis
9777,differential white blood cell count abnormal
9778,cerebellar atrophy
9779,ventricular hypokinesia
9780,pleural rub
9781,sensation of pressure in ear
9782,infestation
9783,stoma creation
9784,lumbar puncture headache
9785,uterine cervix hyperplasia
9786,renal glycosuria
9787,phagophobia
9789,wolfram syndrome
9790,frustration tolerance decreased
9791,acute allograft nephropathy
9792,congenital megaureter
9793,velopharyngeal incompetence
